ticker+ADs-bid+ADs-ask+ADs-base+AF8-crncy+ADs-quote+AF8-crncy+ADs-base+AF8-bid+ADs-base+AF8-ask+ADs-quote+AF8-bid+ADs-quote+AF8-ask+ADs-Offer1+ADs-Offer2+ADs-Offer3
EURNZD Curncy+ADs-1.5614+ADs-1.5618+ADs-EUR+ADs-NZD+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-2.55+ADs-2.55+ADs-0,1114366006+ADs-0,168858855+ADs-0,0841235687
AUDCAD Curncy+ADs-0.9911+ADs-0.9913+ADs-AUD+ADs-CAD+ADs-2.28+ADs-2.28+ADs-0.765+ADs-0.765+ADs-0,1882501525+ADs-0,045902512+ADs-0,0958087326
EURHUF Curncy+ADs-313.21+ADs-313.53+ADs-EUR+ADs-HUF+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-0.5+ADs-0.5+ADs-0,1830518773+ADs-0,0377038451+ADs-0,0020228761
USDHUF Curncy+ADs-285.08+ADs-285.35+ADs-USD+ADs-HUF+ADs-0.4391+ADs-0.4391+ADs-0.5+ADs-0.5+ADs-0,0551852263+ADs-0,1208623498+ADs-0,1309403858
USDRON Curncy+ADs-4.0631+ADs-4.0702+ADs-USD+ADs-RON+ADs-0.4391+ADs-0.4391+ADs-0.42+ADs-0.42+ADs-0,0782050039+ADs-0,064332695+ADs-0,1563233943
EURRON Curncy+ADs-4.4645+ADs-4.4695+ADs-EUR+ADs-RON+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-0.42+ADs-0.42+ADs-0,0614893937+ADs-0,1861478398+ADs-0,1713550395
CHFPLN Curncy+ADs-3.999+ADs-4.0011+ADs-CHF+ADs-PLN+ADs-+AC0-0.8072+ADs-+AC0-0.8072+ADs-1.64+ADs-1.64+ADs-0,0887299666+ADs-0,0305519036+ADs-0,0713652886
EURSEK Curncy+ADs-9.5091+ADs-9.5118+ADs-EUR+ADs-SEK+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-+AC0-0.35+ADs-+AC0-0.35+ADs-0,1932513836+ADs-0,0123258215+ADs-0,1063684558
USDNOK Curncy+ADs-8.5703+ADs-8.5743+ADs-USD+ADs-NOK+ADs-0.4391+ADs-0.4391+ADs-0.635+ADs-0.635+ADs-0,0164672359+ADs-0,0880187151+ADs-0,1084141272
EURNOK Curncy+ADs-9.4165+ADs-9.4205+ADs-EUR+ADs-NOK+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-0.635+ADs-0.635+ADs-0,1363770456+ADs-0,0508288617+ADs-0,1629402349
GBPAUD Curncy+ADs-1.7509+ADs-1.7513+ADs-GBP+ADs-AUD+ADs-0.48563+ADs-0.48563+ADs-2.28+ADs-2.28+ADs-0,1324076393+ADs-0,0958327737+ADs-0,06060242
GBPNZD Curncy+ADs-1.868+ADs-1.8687+ADs-GBP+ADs-NZD+ADs-0.48563+ADs-0.48563+ADs-2.55+ADs-2.55+ADs-0,18020137+ADs-0,0200229035+ADs-0,151010302
USDZAR Curncy+ADs-14.3753+ADs-14.3866+ADs-USD+ADs-ZAR+ADs-0.4391+ADs-0.4391+ADs-6.947+ADs-6.947+ADs-0,0291068511+ADs-0,0890867909+ADs-0,0073797741
USDMXN Curncy+ADs-18.8098+ADs-18.8132+ADs-USD+ADs-MXN+ADs-0.4391+ADs-0.4391+ADs-+ADs-0+ADs-0,146350772+ADs-0,1839961695+ADs-0,1346136012
AUDCHF Curncy+ADs-0.7449+ADs-0.7451+ADs-AUD+ADs-CHF+ADs-2.28+ADs-2.28+ADs-+AC0-0.8072+ADs-+AC0-0.8072+ADs-0,0055434931+ADs-0,0306753485+ADs-0,0333587153
CADJPY Curncy+ADs-79.279+ADs-79.293+ADs-CAD+ADs-JPY+ADs-0.765+ADs-0.765+ADs-+AC0-0.06886+ADs-+AC0-0.06886+ADs-0,0007283776+ADs-0,0569648166+ADs-0,0319031684
EURJPY Curncy+ADs-115.02+ADs-115.03+ADs-EUR+ADs-JPY+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-+AC0-0.06886+ADs-+AC0-0.06886+ADs-0,1743155418+ADs-0,0948484021+ADs-0,1831183113
EURCHF Curncy+ADs-1.09039+ADs-1.09047+ADs-EUR+ADs-CHF+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-+AC0-0.8072+ADs-+AC0-0.8072+ADs-0,1078574377+ADs-0,0840592044+ADs-0,0047793019
EURGBP Curncy+ADs-0.83574+ADs-0.83586+ADs-EUR+ADs-GBP+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-0.48563+ADs-0.48563+ADs-0,0905601759+ADs-0,0034681994+ADs-0,0656165269
AUDUSD Curncy+ADs-0.7507+ADs-0.7507+ADs-AUD+ADs-USD+ADs-2.28+ADs-2.28+ADs-0.4391+ADs-0.4391+ADs-0,1501615318+ADs-0,1290085549+ADs-0,1963119721
USDCAD Curncy+ADs-1.3204+ADs-1.3205+ADs-USD+ADs-CAD+ADs-0.4391+ADs-0.4391+ADs-0.765+ADs-0.765+ADs-0,1948994907+ADs-0,1297811428+ADs-0,0929696
GBPJPY Curncy+ADs-137.608+ADs-137.637+ADs-GBP+ADs-JPY+ADs-0.48563+ADs-0.48563+ADs-+AC0-0.06886+ADs-+AC0-0.06886+ADs-0,1360743697+ADs-0,0815306979+ADs-0,0073269806
CHFJPY Curncy+ADs-105.475+ADs-105.496+ADs-CHF+ADs-JPY+ADs-+AC0-0.8072+ADs-+AC0-0.8072+ADs-+AC0-0.06886+ADs-+AC0-0.06886+ADs-0,1618852234+ADs-0,1103386344+ADs-0,1128251601
NZDUSD Curncy+ADs-0.7035+ADs-0.7037+ADs-NZD+ADs-USD+ADs-2.55+ADs-2.55+ADs-0.4391+ADs-0.4391+ADs-0,1034325307+ADs-0,0286350533+ADs-0,1367150166
EURAUD Curncy+ADs-1.46346+ADs-1.46371+ADs-EUR+ADs-AUD+ADs-+AC0-0.385+ADs-+AC0-0.385+ADs-2.28+ADs-2.28+ADs-0,1957462884+ADs-0,0271249712+ADs-0,0378317724
GBPCHF Curncy+ADs-1.3045+ADs-1.3048+ADs-GBP+ADs-CHF+ADs-0.48563+ADs-0.48563+ADs-+AC0-0.8072+ADs-+AC0-0.8072+ADs-0,06418144+ADs-0,185682823+ADs-0,0147467528
